DS_ITEM	count
OXALIPLATINA - 100 MG PO LIOF SOL INJ IV CT FA VD TRANS - EUROFARMA LABORATÓRIOS S.A.	6
PACLITAXEL - 6 MG/ ML SOL INJ IV CT FA VD INC X 16,7 ML - FRESENIUS KABI BRASIL LTDA	6
Teste de Coombs direto - em tubo	6
Ácido ascórbico (vitamina C) - pesquisa e/ou dosagem	6
Reconstrução, retencionamento ou reforço do ligamento cruzado anterior ou posterior #  - procedimento videoartroscópico de joelho	6
Estimulação elétrica transcutânea	6
Antígeno específico prostático livre (PSA livre) - pesquisa e/ou dosagem	6
Sessão de oxigenoterapia hiperbárica (por sessão de 2 horas)	6
Cirurgias fistulizantes antiglaucomatosas	6
Anti transglutaminase tecidual - IgG	6
Pesquisa rápida para influenza A e B	6
Monitorização neurofisiológica intra-operatória	6
SIMPONI - 50 MG SOL INJ CT 1 SER PREENC X 0,5 ML ACOP CAN APLIC C/ MANGA SEG - JANSSEN-CILAG FARMACÊUTICA LTDA	6
Cadeias leves livres Kappa/Lambda, dosagem, sangue	6
CATETER VENOSO CENTRAL TRIPLO LUMEN ALTIUS REF. K2CS120703	6
ANEL PARA LIGADURA HEMORROIDARIA - FRADEL-MED IND E COM DE APARELHOS MEDICOS LTDA-ME	6
Autotransplante conjuntival	6
Herniorrafia epigástrica	6
Hormônio gonodotrofico corionico quantitativo (HCG-Beta-HCG) - dosagem	6
Consulta Especializada em Oftalmologia	6
AVITENE PO - HEMOSTATICO CIRURGICO - REF. 1010010/0.5 G	6
BUNDLE MUCOSECTOMIA ALTA	6
Anestesia para exames específicos, teste para diagnóstico e outros procedimentos diagnósticos	6
Audiometria tonal limiar com testes de discriminação	6
DIÁRIA COMPACTA DE QUARTO COLETIVO DE 2 LEITOS COM BANHEIRO PRIVATIVO	6
Ácido metil malônico - pesquisa e/ou dosagem	6
RM - Perna (unilateral)	6
Pesquisa de pares cranianos relacionados com o VIII PAR	6
Fator antinúcleo, (FAN) - pesquisa e/ou dosagem	6
Antimicrossomal - pesquisa e/ou dosagem	6
Vídeo-endoscopia naso-sinusal com ótica flexível	6
Neurólise das síndromes compressivas	6
PULSE LAVAGE CIRÚRGICO - ORTOCIR ORTOPEDIA CIRURGIA LTDA	6
BUNDLE ECOENDOSCOPIA ALTA OU BAIXA C/S PUNÇÃO	6
BUNDLE CPRE	6
EXTRATORES DE CÁLCULOS ROCAMED ROCASTONE - INOVAMÉDICA COMÉRCIO DE PRODUTOS MÉDICOS LTDA - EPP	6
PRODUTO PARA CATETERIZAÇÃO VENOSA CENTRAL DE LÚMEN DUPLO - EMERGO BRAZIL IMPORT IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS HOSPITALARES LTDA	6
BORTEZOMIBE - 3,5 MG PO LIOF INJ CT FA VC INC - ACCORD FARMACÊUTICA LTDA	6
Doppler colorido de artérias viscerais (mesentéricas superior e inferior e tronco celíaco)	6
Colocação de sonda enteral	6
CANISTER INFO V.A.C. COM GEL - K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA	6
Curativo especial sob anestesia - por unidade topográfica (UT)	6
DIÁRIA DE  UTI INFANTIL/PEDIÁTRICA	6
RM - Pescoço (nasofaringe, orofaringe, laringe, traquéia, tireóide, paratireóide)	6
Magnésio - pesquisa e/ou dosagem	6
Processos inflamatórios pélvicos	6
DYSPORT - 300 U PO LIOF INJ CT FA VD INC  - BEAUFOUR IPSEN FARMACÊUTICA LTDA	6
TRANSAMINASE PIRÚVICA - TGP OU ALT POR UNIDADE DE SANGUE TOTAL	6
CÂNULA DE ACESSO URETERAL BI-FLEX EVO - ROUS1035ST - ALLENT COMÉRCIO, IMPORTAÇÃO E DISTRIBUIÇÃO DE MATERIAIS MÉDICOS LTDA. ? ME	5
Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando um membro	5
Gonadotrófico coriônico, hormônio (HCG) - pesquisa e/ou dosagem	5
STENT FARMACOLOGICO PARA ARTERIAS CORONARIAS 3,50 X 180MM - REF: 1120350-18	5
Endolaser/Endodiatermia	5
Marcadores tumorais (CA 19.9, CA 125, CA 72-4, CA 15-3, etc.) cada - pesquisa e/ou dosagem	5
PCT + TURBI + SEPTO	5
Anestesia para exames de ultrassonografia	5
Retinopexia com introflexão escleral	5
Punção biópsia/aspirativa de órgão ou estrutura superficial orientada por TC (não inclui o exame de base)	5
PARAFUSO DE INTERFERENCIA 9 X 30MM - REF: 0042050-930	5
TC para planejamento oncológico	5
Sessão em psicologia individual	5
CATETER URETERAL ROCAJJ ROCAMED - INOVAMÉDICA COMÉRCIO DE PRODUTOS MÉDICOS LTDA - EPP	5
RX - Seios da face	5
Protrombina, pesquisa de mutação	5
ADESIVO CIRURGICO BIOLOGICO - REF: AB1000	5
TREINAMENTO AUDITIVO EM CABINE	5
SPLINT NASAL VOLMED REF. ASPL01	5
Fator reumatóide, teste do látex (qualitativo) - pesquisa	5
RM - Tórax (mediastino, pulmão, parede torácica)	5
Vitrectomia vias pars plana	5
Linfadenectomia retroperitoneal laparoscópica	5
Doppler colorido arterial de membro superior - unilateral	5
Mycobactéria PCR - pesquisa	5
GENUXAL - 1000 MG PO SOL INJ IV CX 10 FA VD INC X 75 ML (REST HOSP) - BAXTER HOSPITALAR LTDA	5
RM - Coração - morfológico e funcional	5
PACOTE SESSÃO DE HEMODIALISE HOSPITALAR	5
XOLAIR - 150 MG PO LIOF INJ CT FA VD INC + AMP VD INC DIL X 2 ML - NOVARTIS BIOCIENCIAS S.A	5
CANULA DE DEBRIDAÇÃO R3A PRIME REF.031.1167	5
Meniscectomia - um menisco - procedimento videoartroscópico de joelho	5
Cintilografia da tireóide e/ou captação (tecnécio - 99m TC)	5
Instilação vesical ou uretral	5
RX - Calcâneo	5
ZOLADEX - 3,6 MG DEPOT + SER CT ENV AL POLIET X 1 - ASTRAZENECA DO BRASIL LTDA	5
Artrodese da coluna com instrumentação por segmento	5
CARGA P/ GRAMPEADOR ENDO GIA UNIVERSAL TRI-STAPLE 45MM ROXA IMP. REF: EGIA45AMT	5
Incisão e drenagem de abscesso, hematoma ou panarício	5
Paratormônio - PTH ou fração (cada) - pesquisa e/ou dosagem	5
Fenotipagem do sistema RH-HR (D, C, E, C E C) gel teste	5
RESERVATORIO J-VAC 300ML - REF: 2163	5
RX - Tórax - 1 incidência	5
DILATADOR PARA CATETER - ANGIOMED IMPORTAÇÃO E EXPORTAÇÃO LTDA	5
FILTRO ASPIRADOR VIA ASPIRATE MEDIUM - REF. VM-03-02-01	5
TROCATER OTICO VERSAPORT BLADELESS 12MM SEM LAMINA - REF: ONB12STF	5
Sutura de pequenos ferimentos com ou sem desbridamento	5
Enxerto ósseo	5
Fototerapia com UVA (PUVA) (por sessão)	5
Embolização de aneurisma cerebral por oclusão sacular - por vaso	5
Colocação de stent em ramo intracraniano	5
ULTIMASTER STENT CORONARIO ELUIDOR DE SIROLIMUS REF. DE-RD3028KSM	5
COTONOIDE	5
Etmoidectomia intranasal	5
Tenólise no túnel osteofibroso	5
CONSULTA INDIVIDUAL AMBULATORIAL EM FONOAUDIOLOGIA PARA AUTISMO	5
Cirurgia de coluna por via endoscópica	5
TC - Maxilar	5
PCT HEMODERIVADOS - PFC	5
Histerectomia total com anexectomia uni ou bilateral - qualquer via	5
TAXA DE AUXILIAR/TÉCNICO DE ENFERMAGEM NO DOMICÍLIO ATÉ 24 HORAS	5
IMUNO BCG - 40 MG PÓ LIOFILIZADO CX CT 02 AMP AMB - FUNDAÇÃO ATAULPHO DE PAIVA	5
GRAMPEADOR ENDO GIA ULTRA UNIVERSAL 12MM 16CM - REF: EGIAUSTND (STANDART)	5
Audiometria vocal - pesquisa de limiar de inteligibilidade	5
RX - Coluna cervical - 3 incidências	5
Imobilização de membro superior	5
Eletroferese de proteínas	5
Dehidroepiandrosterona (DHEA) - pesquisa e/ou dosagem	4
CITRATO DE TAMOXIFENO - 20 MG COM REV CT BL AL AL X 30  - BLAU FARMACÊUTICA S.A.	4
FAMÍLIA DE CATETERES VENOSOS CENTRAIS - LABORATÓRIOS B. BRAUN S/A	4
Ecodopplercardiograma transesofágico (inclui transtorácico)	4
FIOS E PINOS RIGIDOS IMPLANTAVEIS ORTOBIO - 5401-200-300 - ORTOBIO - IND E COM. DE PRODUTOS ORTOPEDICOS LTDA-EPP	4
DOCETAXEL - 20 MG/ML SOL INJ IV CT FA VD TRANS X 1 ML - GLENMARK FARMACÊUTICA LTDA	4
RADIOTERAPIA CONFORMADA TRIDIMENSIONAL (RCT-3D) COM ACELERADOR LINEAR - POR TRATAMENTO	4
RX - Videodeglutograma	4
TROCATER BLADELESS B11LT 11MM	4
"Procedimento diagnóstico em painel de hibridização ""in situ"""	4
Fenotipagem de outros sistemas eritrocitários - por fenótipo - gel teste	4
PCT - MAPEAMENTO E AJUSTES PÓS IMPLANTE DE BONEBRIDGE E/OU PONTO - PACOTE HIORP	4
TU partes moles - exérese	4
MABTHERA - 10 MG/ML SOL DIL INFUS IV CT 1 FR VD TRANS X 50 ML - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.	4
DOCETAXEL - 40MG/ML SOL INJ IV CT FA VD AMB X 2,0 ML + DIL FA VD INC X 6,0 ML - GLENMARK FARMACÊUTICA LTDA	4
Progesterona - pesquisa e/ou dosagem	4
Angioplastia transluminal transoperatória - por artéria	4
Cintilografia para pesquisa de refluxo gastro-esofágico	4
FIOS E PINOS RIGIDOS IMPLANTAVEIS ORTOBIO - 5401-150-300 - ORTOBIO - IND E COM. DE PRODUTOS ORTOPEDICOS LTDA-EPP	4
SPONGOSTAN ESPONJA HEMOSTATICA ABSORVIVEL STANDARD 7CM X 5CM X 1CM - REF: MS0002	4
BUNDLE COLONOSCOPIA COM TATUAGEM E/OU DESCOMPRESSÃO	4
GENUXAL - 50 MG COM REV LIB RETARD CT BL AL/AL X 50 - BAXTER HOSPITALAR LTDA	4
CATETER TRIPLO LUMEN P/ HEMODIALISE 12FRX20CM - REF. CV 15123 F	4
DRENO BLAKE S/ TROCATHER 15FR REF. 2228	4
Orquidopexia unilateral	4
TUBO VENTILACAO 1011CH TEFLON C/ HASTE AÇO (SHEPARD)- REF: 94139	4
BUNDLE EDA RETIRADA CORPO ESTRANHO	4
TAXA DE AUXILIAR/TÉCNICO DE ENFERMAGEM NO DOMICÍLIO ATÉ 12 HORAS	4
CARGA PARA GRAMPEADOR ENDO GIA UNIVERSAL COM TECNOLOGIA TRI-STAPLE REEF. EGIA45AVM	4
Citomegalovírus - quantitativo, por PCR - pesquisa	4
Nasofibrolaringoscopia para dignóstico e/ou biópsia	4
Apendicectomia por videolaparoscopia	4
HUMIRA - 40 MG SOL INJ CT 2 BL X SER X 0,8 ML + SIST APLIC PLAST (PEN) + ENV LENÇO COM ÁLCOOL. - ABBVIE FARMACÊUTICA LTDA.	4
COMPONENTE FEMORAL GRANDE BKS III ESQUERDO - REF: 2340-06-000	4
Imobilizações não-gessadas (qualquer segmento)	4
EQUISTREAM - BARD BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA A SAÚDE LTDA.	4
RM - Membro superior unilateral (não inclui mão e articulações)	4
ACTEMRA - 20 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.	4
CLORIDRATO DE IRINOTECANO - 20 MG/ML SOL DIL INFUS IV CT FA VD AMB X 5 ML - EUROFARMA LABORATÓRIOS S.A.	4
Anticorpos anti peptídeo cíclico citrulinado - IgG	4
PERJETA - 420 MG SOL DIL INFUS IV CT FA VD TRANS X 14 ML - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.	4
Epistaxe - cauterização (qualquer técnica)	4
Embolectomia ou tromboembolectomia arterial	4
Extensos ferimentos, cicatrizes ou tumores - excisão e retalhos cutâneos da região	4
Impedanciometria - timpanometria	4
Consulta com enfermeiro obstetra ou obstetriz	4
Cálcio iônico - pesquisa e/ou dosagem	4
BAINHA LONGA AXS INFINITY LS - STRYKER DO BRASIL LTDA	4
HUMIRA - 40MG SOL INJ CT 2 BL X SER X 0,8 ML + ENV LENÇO COM ALCOOL  - ABBVIE FARMACÊUTICA LTDA.	4
Alérgenos - perfil antigênico (painel C/36 antígenos) - pesquisa e/ou dosagem	4
Metodo Bobath - Sessão de Fisioterapia	4
Hepatite C - anti-HCV - IgM - pesquisa e/ou dosagem	4
Herniorrafia incisional	4
Lipoproteína (a) - Lp (a) - pesquisa e/ou dosagem	4
Abscesso anorretal - drenagem	4
DIÁRIA COMPACTA DE ENFERMARIA DE 2 LEITOS COM BANHEIRO PRIVATIVO	4
BRCA1 E BRCA2 ¿ SEQUENCIAMENTO GENICO COMPLETO	4
ZOLADEX - 10,8 MG DEPOT + SER PLAS BS CT ENV AL POLIET X 1 - ASTRAZENECA DO BRASIL LTDA	4
Estudo ultrassonográfico intravascular	4
Angio-RM venosa de crânio	4
INTRODUTOR PARA ALIVIO DA DOR RADIMED PRO RERF. 10003S	4
Punção articular diagnóstica ou terapêutica (infiltração) - orientada ou não por método de imagem	4
VERSAONE CANULA UNIVERSAL 12MM PADRÃO - REF: UNVCA12STF	4
Manipulação articular sob anestesia geral	4
17-alfa-hidroxiprogesterona - pesquisa e/ou dosagem	4
Gastroplastia para obesidade mórbida - qualquer técnica	4
Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal	4
Biópsia do colo uterino	4
Laminectomia ou laminotomia	4
KIT BARIMARLEX - Ref.: Kb2300rj0012	4
Punção traqueal	4
Curva de HGH com clonidina (cada dosagem)	4
"FIO GUIA HIDROFILICO ALLWIN 0.035"" ¿ RETO - REF. SHSG 150-35"	4
Angiotomografia de aorta abdominal	4
DRENO DE SUCCAO COM AGULHA 3.2MM	4
Dehidrotestosterona (DHT) - pesquisa e/ou dosagem	4
BROCA CONICA CORTANTE P/ MIDAS LEGEND (FRESA) - REF: 10BA60	4
CÂNULA ECOGÊNICA PROBLOCK - ATLÂNTICO MEDICINA ESPECIALIZADA LTDA	4
DYSPORT - 500 U PO LIOF INJ CT FA VD INC - BEAUFOUR IPSEN FARMACÊUTICA LTDA	4
Ressecção endoscópica da próstata	4
CIMENTO ORTOPEDICO OSTEO-CLASS REF. 1099	4
Hepatite C (quantitativo) por PCR - pesquisa	4
Colesterol (VLDL) - pesquisa e/ou dosagem	4
NAT/HBV - por componente hemoterápico - pesquisa e/ou dosagem	3
KIT PARA GASTRECTOMIA VERTICAL REF. BRKPW05	3
Crescimento, hormônio do (HGH) - pesquisa e/ou dosagem	3
Fistulectomia anal em um tempo	3
Punção biópsia/aspirativa de órgão ou estrutura profunda orientada por TC (não inclui o exame de base)	3
Diálise peritoneal ambulatorial contínua (CAPD) por mês/paciente	3
Curetagem pós-abortamento	3
Excisão de lesão maligna com reconstrução à custa de retalhos locais	3
TROCATER BLADELESS B12LT 12MM	3
Doppler convencional órgão/estrutura isolada	3
TYSABRI - 20 MG/ML SOL INJ CT FA VD INC X 15 ML - BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA	3
KIT OBESIDADE VIDEO - REF: BRKPW09	3
BUNDLE PH-METRIA ESOFAGICA COMPUTADORIZADA COM DOIS CANAIS	3
Eletrencefalograma em vigília, e sono espontâneo ou induzido	3
Cintilografia renal estática (quantitativa ou qualitativa)	3
NAT/HCV por componente hemoterápico - pesquisa e/ou dosagem	3
Artroplastia (qualquer técnica ou versão de quadril) - tratamento cirúrgico	3
Albumina - pesquisa e/ou dosagem	3
IMPLANTE DE MARCAPASSO BICAMERAL - PACOTE DE CIRURGIA CARDÍACA	3
CATETER ANGIOGRÁFICO CARDIOLÓGICO PERFORMA BRAIDED - 7521-21 - JUDKINS LEFT - MERIT MEDICAL COMERCIALIZAÇÃO, DISTRIBUIÇÃO, IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS HOSPITALARES LTDA	3
Curativos em geral sem anestesia, exceto queimados	3
Laserterapia para o tratamento da mucosite oral / orofaringe, por sessão	3
Provas de função hepática (bilirrubinas, eletroforese de proteínas, FA, TGO, TGP e Gama-PGT)	3
MESNA - 100 MG/ML SOL INJ IV CT 50 AMP VD INC X 4 ML (EMB HOSP) - BLAU FARMACÊUTICA S.A.	3
Parto (via vaginal)	3
S. HEPATITE B ANTI-HBC POR UNIDADE DE SANGUE TOTAL	3
DISPOSITIVO PARA SELAMENTO DE PUNÇÃO HEMOSTÁTICA ANGIO-SEAL VIP (8F) - TERUMO MEDICAL DO BRASIL LTDA.	3
DIÁRIA DE  ENFERMARIA DE 4 OU MAIS LEITOS COM BANHEIRO PRIVATIVO	3
Paraparesia/tetraparesia	3
PCR em tempo real para os vírus parainfluenza e influenza	3
Troca de prótese tráqueo-esofágica	3
CAPILAR (DIALISADOR) ALTO FLUXO FX60 CLASSIX	3
PCT - ABLAÇÃO CONVENCIONAL (ESTUDO ELETROFISIOLOGICO)	3
FIOS E PINOS RIGIDOS IMPLANTAVEIS ORTOBIO - 5402-250-300 - ORTOBIO - IND E COM. DE PRODUTOS ORTOPEDICOS LTDA-EPP	3
EQUOTERAPIA	3
DISPOSITIVO PARA SELAMENTO DE PUNÇÃO HEMOSTÁTICA ANGIO-SEAL VIP (6F) - 610132 (COMPONENTES: 01 DISPOSITIVO ANGIO-SEAL VIP (6F); 01 BAINHA INTRODUTORA; 01 LOCALIZADOR DE ARTERIOTOMIA; 01 FIO GUIA COM ALINHADOR DA PONTA J (70CM X 0.035?).) - TERUMO MEDICAL	3
Artrotomia de cotovelo - tratamento cirúrgico	3
ELETRODO BIPOLAR DESCARTÁVEL - 4622.1333 - RICHARD WOLF BRASIL EQUIPAMENTOS MEDICINAIS LTDA	3
CATETER ARTERIAL RADIAL 6 CM X 0.9 MM X 20 G REF. 3843 09	3
TROCARTES CIRÚRGICOS ENDOPATH XCEL - B12LT - JOHNSON & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA	3
GELFOAM - WYETH INDÚSTRIA FARMACÊUTICA LTDA	3
Microneurólise única	3
Reconstrução craniana ou craniofacial	3
DIÁRIA DE ISOLAMENTO DE UTI ADULTO GERAL	3
Pesquisa de anticorpos séricos irregulares antieritrocitários - gel teste	3
Teste de Coombs direto - gel teste	3
CURATIVO RENASYS FOAM PEQUENO 10 X 8 X 3CM - REF: 66800794	3
PCT HEMODERIVADOS - CRIO	3
Tratamento cirúrgico de fraturas de tíbia com fixador externo	3
TERAPIA MÉTODO TEACCH (TREATMENTAND OF AUTISTICAND RELATED COMMUNICATION HANDICAPPED CHILDREN) - SESSÃO	3
FIO GUIA RADIOFOCUS GLIDEWIRE TERUMO - GUIDEWIRE M PONTA ANGULAR RÍGIDA RFPA35263M - TERUMO MEDICAL DO BRASIL LTDA.	3
INTRODUTOR RADIFOCUS INTRODUCER II COM GUIA METÁLICA E AGULHA - RS*R80N10MQ - TERUMO MEDICAL DO BRASIL LTDA.	3
RECARGA ENDOMARLEX TRISIZE ARTICULADA ROXA 60MM - MODELO 3 REF CEAR36035	3
Corpos estranhos, pólipos ou biópsia - em hospital sob anestesia geral	3
PCT - CORPOS ESTRANHOS, PÓLIPOS OU BIÓPSIA &#x2013; EM HOSPITAL (ANESTESIA GERAL)	3
EXEMESTANO - 25 MG DRG CT BL AL PLAS OPC X 30 - WYETH INDÚSTRIA FARMACÊUTICA LTDA	3
VECTIBIX - 20 MG/ML SOL DIL INFUS CT FA VD TRANS X 20 ML - AMGEN BIOTECNOLOGIA DO BRASIL LTDA.	3
PCT - TURBI + UVULO + AMIGDALA + SEPTO	3
CISPLATINA - 1 MG/ML SOL INJ IV CT FA VD AMB X 10 ML   - ACCORD FARMACÊUTICA LTDA	3
HIDROXIUREIA - 500 MG CAP DURA CT FR VD AMB X 150 - EMS S/A	3
Estenose de conduto auditivo externo - correção	3
Patologia osteomioarticular em um segmento da coluna	3
Broncoscopia com biópsia transbrônquica	3
CUTANPLAST - ESPONJA DE GELATINA HEMOSTATICA REF. 05170502	3
Sequenciamento de Nova geração de todas as regiões codificadoras (éxons) de todo os genes do genoma  - Sequenciamento do Exoma (inclui Captura, Amplificação e Sequenciamento)	3
PCT - PESQUISA DE POTENCIAIS AUDITIVOS DE TRONCO CEREBRAL (BERA) - PACOTE HIORP	3
Dacriocistografia	3
TROCARTE PORTMARLEX DESCARTAVEL SEM LAMINA REF TOMS212100	3
"FIO GUIA HIDROFILICO RADIFOCUS STANDARD ANGULADO 0,035"" X 260CM REF. RF*GA35263M"	3
IgE, total - pesquisa e/ou dosagem	3
Proteína S total + livre, dosagem	3
CLIP HEM-O-LOK ROXO - REF: 544240	3
Dissecção muscular	3
Ultrassonografia diagnóstica - monocular	3
Estrogênios totais (fenolesteróides) - pesquisa e/ou dosagem	3
Sulfato de dehidroepiandrosterona (S-DHEA) - pesquisa e/ou dosagem	3
FIO GUIA TRAXCESS 14 - GW1420040 - ENDOTEC PRODUTOS MÉDICOS LTDA	3
Tenoplastia / enxerto de tendão - tratamento cirúrgico	3
Reposição de fármaco(s) em bombas implantadas	3
STENT FRED - DISPOSITIVO ENDOLUMINAL DE REDIRECIONAMENTO DE FLUXO - FRED4012 - ENDOTEC PRODUTOS MÉDICOS LTDA	3
Patologia neurológica com dependência de atividades da vida diária	3
SOFIA - CATETER DE ACESSO DISTAL - ENDOTEC PRODUTOS MÉDICOS LTDA	3
Denervação percutânea de faceta articular - por segmento	3
Audiometria de tronco cerebral (PEA) BERA	3
NAT/HIV por componente hemoterápico - pesquisa e/ou dosagem	3
Iodo, dosagem na urina	3
PROLENE 15 X 15 - XYPMH1	3
Transferências musculares ao nível do ombro - tratamento cirúrgico	3
Correção cirúrgica de ectrópio ou entrópio	3
Ressecção parcial ou total de clavícula - tratamento cirúrgico	3
ANCORA COM FIO FIBER E APLICADOR DESCARTAVEL REF.5907-050-260	3
Hemoglobina (eletroforese) - pesquisa e/ou dosagem	3
Anticorpos antitireóide (tireoglobulina) - pesquisa e/ou dosagem	3
Tímpano-mastoidectomia	3
TAXA DE APLICAÇÃO DE INJEÇÃO EV, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO, POR USO/SESSÃO	3
Coombs indireto	3
Cauterização química, ou eletrocauterização, ou criocauterização de lesões de colo uterino (por sessão)	3
Cauterização química, ou eletrocauterização, ou criocauterização de lesões da vulva (por grupo de até 5 lesões)	3
PCT - ADENOIDECTOMIA	3
Processamento auditivo central infantil (de 3 a 7 anos)	3
REVLIMID - 25 MG CAP CT BL AL PLAS TRANS X 21 - CELGENE BRASIL PRODUTOS FARMACÊUTICOS LTDA.	3
IMBRUVICA - 420 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 30 - JANSSEN-CILAG FARMACÊUTICA LTDA	3
ADCETRIS - 50 MG PO LIOF INJ CX 1 FA VD TRANS - TAKEDA PHARMA LTDA.	3
Hallux valgus (um pé) - tratamento cirúrgico	3
HUMIRA - 20 MG SOL INJ CT 2 BL X SER PREENCH X 0,2 ML + ENV LEN ÁLCOOL - ABBVIE FARMACÊUTICA LTDA.	3
FIO METALICO LISO - 32015E - HEXAGON INDUSTRIA E COMÉRCIO DE IMPLANTES ORTOPÉDICOS LTDA	3
CARGA PARA GRAMPEADOR LINEAR CORTANTE - TCR75	3
TC - Articulações temporomandibulares	3
Calázio - exérese	3
Dedo em gatilho, capsulotomia / fasciotomia - tratamento cirúrgico	3
FIO TIPO KIRSCHNNER LISO PONTA TRIANGULAR 2,0MM X 300MM (ORTOBIO)	3
Angiotensina II	3
ACTEMRA SC - 162 MG SOL INJ SC CT 1 SER PREENC VD TRANS X 0,9 ML - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.	3
TALTZ - 80MG/ML SOL INJ CT 1 SER PREENC VD INC X 1ML + 1 CAN APLIC - ELI LILLY DO BRASIL LTDA	3
EVENITY - 90 MG/ML SOL INJ CT 2 SER PREENC VD TRANS X 1,17ML - AMGEN BIOTECNOLOGIA DO BRASIL LTDA.	3
TC - Coração - para avaliação do escore de cálcio coronariano	3
Biofeedback com EMG	3
Hepatite B - HBSAC (anti-antígeno de superfície) - pesquisa e/ou dosagem	3
Antígeno Austrália (HBSAG) - pesquisa e/ou dosagem	3
Angiotomografia de aorta torácica	3
STENT FARMACOLÓGICO PARA ARTÉRIAS CORONÁRIAS - REF: 1120275-38	3
DUPIXENT - 150 MG/ML SOL INJ CT 2 SER PREENC VD TRANS X 2,0 ML - SANOFI MEDLEY FARMACÊUTICA LTDA.	3
Fraturas e/ou luxações ao nível do tornozelo - tratamento cirúrgico	3
Vitamina K,- pesquisa e/ou dosagem	3
SARS-CoV-2 (Coronavírus COVID-19), pesquisa de anticorpos IgA, IgG ou IgM, isolada por classe de imunoglobulina	3
US - Crânio para criança	3
FILTRO ASPIRADOR VIA ASPIRATE MEDIUM -VM-03-02-01	3
CLORIDRATO DE IRINOTECANO - 20 MG/ML SOL INJ CT FA VD AMB X 2 ML  - ACCORD FARMACÊUTICA LTDA	3
DIÁRIA COMPACTA DE ENFERMARIA DE 3 LEITOS COM BANHEIRO PRIVATIVO	3
Cisto sacro-coccígeo - tratamento cirúrgico	3
COMPONENTE TIBIAL 3 REF:0313200-300	3
PONTA DE ASPIRAÇÃO ASPLASS F. - REF. 80201	3
Frenotomia labial	3
REMICADE - 10 MG/ML PO LIOF CT FA VD INC X 10 ML - JANSSEN-CILAG FARMACÊUTICA LTDA	3
Proteína S livre, dosagem	3
Reconstrução mamária com retalhos cutâneos regionais	3
Tempo de tromboplastina parcial ativada - determinação	3
Fraturas e/ou luxações do punho - tratamento cirúrgico	3
Quadrantectomia e linfadenectomia axilar - em mama	3
RM - Articulação temporomandibular (bilateral)	3
SINUS - VENOUS - PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME	3
Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas	3
Varicocele unilateral - correção cirúrgica	3
Colpoplastia posterior com perineorrafia	3
CATETER IVUS DIGITAL VISIONS PV.035 - 88901 - PHILIPS MEDICAL SYSTEMS LTDA	3
Cistolitotripsia a laser	3
Angiotomografia arterial de membro inferior	3
Exérese de nódulo - em mama	3
DENSIS - 5MG/100ML SOL INJ CT BOLS PLAS TRANS SIST FECH X 100ML - EUROFARMA LABORATÓRIOS S.A.	2
Eletrocoagulação de lesões cutâneas	2
Rinoplastia reparadora	2
Tumores retro-peritoneais  malignos unilaterais - exérese	2
Cariótipo de sangue (técnicas com bandas)	2
Angiotomografia venosa de pescoço	2
Fraturas de fêmur - tratamento cirúrgico	2
MAXBRAID SUTURA NÃO ABSORVIVEL, BRANCA/AZUL CO- TRANÇADA, TAMANHO 5, 38'''' ¿ AGULHA K-60, 1N - EMB. C/ 12 REF:900312	2
Musicoterapia - por sessão	2
EVACUADOR TUR-VAC ALLWIN REF. TV	2
Tumor de conjuntiva - exérese	2
BARDPORT TOTALMENTE IMPLANTÁVEL EM PLÁSTICO E SILICONE - 0603880 (PORTS MRI DE BAIXO PERFIL) - BARD BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA A SAÚDE LTDA.	2
MICRO PLACA RETA PONTE 6MM X 4F - REF: PA.01.03.0577	2
Paquimetria ultrassônica - monocular	2
Reconstrução  de orelha - retoques	2
Xantelasma palpebral - exérese - unilateral	2
Correção de lipodistrofia braquial, crural ou trocanteriana de membros superiores e inferiores	2
Correção de bolsas palpebrais - unilateral	2
Dermatocalaze ou blefarocalaze exérese - unilateral	2
